Key,English(en),Spanish(es),German(de),French(fr),Italian(it),Turkish (Turkey)(tr-TR),Chinese (Simplified)(zh-CN)
Language Names,English,Español,Deutsch,Français,Italiano,Türkçe,中国人
Loading...,Loading...,Cargando...,Laden...,Chargement...,Caricamento...,Yükleniyor...,加载中...
Tap to Start,Tap To Start,Toque Para Comenzar,Tippen Sie Zum Starten Auf,Appuyez Pour Commencer,Tocca Per Iniziare,Başlamak İçin Dokunun,点击开始
Leadboard Rank,Leadboard Rank,Rango En La Tabla De Clasificación,Leadboard-Rang,Rang Du Classement,Classifica Classifica,Skor Tablosu Sıralaması,排行榜排名
Total Games,Total Games,Juegos Totales,Gesamtzahl Der Spiele,Total Des Jeux,Giochi Totali,Toplam Oyunlar,总比赛数
Total Score,Total Score,Puntuación Total,Gesamtpunktzahl,Note Totale,Punteggio Totale,Toplam Puan,总分
Total Coins Collected,Total Coins Collected,Total De Monedas Recolectadas,Gesamtzahl Der Gesammelten Münzen,Total Des Pièces Collectées,Totale Monete Raccolte,Toplanan Toplam Para,收集的硬币总数
Coins Spent,Coins Spent,Monedas Gastadas,Ausgegebene Münzen,Pièces Dépensées,Monete Spese,Harcanan Paralar,花费的硬币
Achiements Completed,Achiements Completed,Logros Completados,Erfolge Abgeschlossen,Réalisations Accomplies,Risultati Completati,Tamamlanan Başarılar,已完成的成就
Characters,Characters,Personajes,Charaktere,Personnages,Caratteri,Karakterler,人物
Back,Back,Atrás,Zurück,Dos,Indietro,Geri,后退
Settings,Settings,Ajustes,Einstellungen,Paramètres,Impostazioni,Ayarlar,设置
Paused,Paused,En Pausa,Angehalten,En Pause,In Pausa,Duraklatıldı,已暂停
Back to Game,Back To Game,Volver Al Juego,Zurück Zum Spiel,Retour Au Jeu,Torniamo Al Gioco,Oyuna Geri Dön,返回游戏
Back to Menu,Back To Menu,Volver Al Menú,Zurück Zum Menü,Retour Au Menu,Torna Al Menù,Menüye Geri Dön,返回菜单
Credits,Credits,Créditos,Credits,Crédits,Crediti,Kredi,制作人员
Settings,Settings,Ajustes,Einstellungen,Paramètres,Impostazioni,Ayarlar,设置
Sound,Sound,Sonido,Klang,Son,Suono,Ses,声音
Music,Music,Música,Musik,Musique,Musica,Müzik,音乐
Language,Language,Idioma,Sprache,Langue,Lingua,Dil,语言
Credits,Credits,Créditos,Credits,Crédits,Crediti,Kredi,制作人员
Support,Support,Apoyo,Unterstützung,Soutien,Supporto,Destek,支持
On,On,En,An,Sur,Su,Açık,在
Off,Off,Apagado,Aus,Désactivé,Spento,Kapalı,离开
